candidate_id,query_type,query
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) biomass carbon review"
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) hard carbon sodium ion battery"
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) supercapacitor electrode engineering"
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) precursor composition lignin cellulose"
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) carbon yield activation performance"
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) BET d002 ID/IG ICE capacity"
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) machine learning materials descriptor"
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) Bayesian optimization carbon materials"
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) mass loading electrode thickness density"
CAND-YIELD-NORM-SC,precise,"""Yield-normalized design of biomass porous carbon for aqueous supercapacitors"" OR (activation severity carbonization temperature precursor composition ash removal carbon yield BET volumetric capacitance ICE) structure property relationship"
CAND-YIELD-NORM-SC,broad,biomass derived carbon energy storage descriptor review
CAND-YIELD-NORM-SC,broad,hard carbon precursor composition sodium ion battery
CAND-YIELD-NORM-SC,broad,porous carbon aqueous supercapacitor practical metrics
CAND-YIELD-NORM-SC,broad,machine learning biomass carbon energy storage
CAND-YIELD-NORM-SC,broad,carbon material Bayesian optimization literature data
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) biomass carbon review"
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) hard carbon sodium ion battery"
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) supercapacitor electrode engineering"
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) precursor composition lignin cellulose"
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) carbon yield activation performance"
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) BET d002 ID/IG ICE capacity"
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) machine learning materials descriptor"
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) Bayesian optimization carbon materials"
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) mass loading electrode thickness density"
CAND-COMP-NORM-HC,precise,"""Composition-normalized screening of biomass hard-carbon precursors"" OR (cellulose/lignin ratio ash content washing carbonization temperature ICE reversible capacity plateau fraction d002 ID/IG) structure property relationship"
CAND-COMP-NORM-HC,broad,biomass derived carbon energy storage descriptor review
CAND-COMP-NORM-HC,broad,hard carbon precursor composition sodium ion battery
CAND-COMP-NORM-HC,broad,porous carbon aqueous supercapacitor practical metrics
CAND-COMP-NORM-HC,broad,machine learning biomass carbon energy storage
CAND-COMP-NORM-HC,broad,carbon material Bayesian optimization literature data
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) biomass carbon review"
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) hard carbon sodium ion battery"
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) supercapacitor electrode engineering"
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) precursor composition lignin cellulose"
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) carbon yield activation performance"
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) BET d002 ID/IG ICE capacity"
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) machine learning materials descriptor"
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) Bayesian optimization carbon materials"
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) mass loading electrode thickness density"
CAND-ACCESSIBLE-PORE-SC,precise,"""Ion-accessible pore descriptors for aqueous supercapacitor biomass carbons"" OR (pore size distribution activation route mass loading electrode density specific capacitance rate retention thickness compacted density) structure property relationship"
CAND-ACCESSIBLE-PORE-SC,broad,biomass derived carbon energy storage descriptor review
CAND-ACCESSIBLE-PORE-SC,broad,hard carbon precursor composition sodium ion battery
CAND-ACCESSIBLE-PORE-SC,broad,porous carbon aqueous supercapacitor practical metrics
CAND-ACCESSIBLE-PORE-SC,broad,machine learning biomass carbon energy storage
CAND-ACCESSIBLE-PORE-SC,broad,carbon material Bayesian optimization literature data
